evidence_id,request_id,document_type,document_name,document_status,issued_date,received_at,verified_at,verified_by,document_account_token,storage_ref,note
EVD-2608-001,REQ-2608-001,거래처 계좌변경 요청서,가상한빛물산 계좌변경 요청서,원본대조 확인,2026-08-01 08:00:00,2026-08-01 08:20:00,2026-08-01 09:00:00,U501,ACCT-2608-001-NEW,EDU-DAY1/EVD-2608-001,교육용 메타데이터
EVD-2608-002,REQ-2608-002,거래처 명의 계좌변경 공문,가상새봄유통 계좌변경 공문,원본대조 확인,2026-08-02 08:00:00,2026-08-02 08:20:00,2026-08-02 09:00:00,U501,ACCT-2608-002-NEW,EDU-DAY1/EVD-2608-002,교육용 메타데이터
EVD-2608-003,REQ-2608-003,사업자등록증 사본,가상다온포장 사업자등록증 사본,사본 확인,2026-08-03 08:00:00,2026-08-03 08:20:00,2026-08-03 09:00:00,U501,ACCT-2608-003-NEW,EDU-DAY1/EVD-2608-003,마스킹된 표시값만 사용
EVD-2608-004,REQ-2608-004,거래처 명의 통장 사본,가상누리물류 통장 사본,사본 확인,2026-08-04 08:00:00,2026-08-04 08:20:00,2026-08-04 09:00:00,U501,ACCT-2608-004-NEW,EDU-DAY1/EVD-2608-004,이미지 없이 등록부 정보만 사용
EVD-2608-005,REQ-2608-005,거래처 담당자 유선 재확인 기록,가상라온설비 유선 재확인 기록,원본대조 확인,2026-08-05 08:00:00,2026-08-05 08:20:00,2026-08-05 09:00:00,U501,ACCT-2608-005-NEW,EDU-DAY1/EVD-2608-005,실제 전화번호 없음
EVD-2608-006,REQ-2608-006,사내 전자결재 승인문서,가상해솔상사 전자결재 승인문서,원본대조 확인,2026-08-06 08:00:00,2026-08-06 08:20:00,2026-08-06 09:00:00,U501,ACCT-2608-006-NEW,EDU-DAY1/EVD-2608-006,교육용 메타데이터
EVD-2608-007,REQ-2608-007,ERP 거래처 마스터 변경이력,가상온결테크 ERP 변경이력,원본대조 확인,2026-08-07 08:00:00,2026-08-07 08:20:00,2026-08-07 10:10:00,U501,ACCT-2608-007-NEW,EDU-DAY1/EVD-2608-007,교육용 메타데이터
EVD-2608-008,REQ-2608-008,거래처 계좌변경 요청서,가상마루서비스 계좌변경 요청서,원본대조 확인,2026-08-08 08:00:00,2026-08-08 08:20:00,2026-08-08 09:00:00,U501,ACCT-2608-008-NEW,EDU-DAY1/EVD-2608-008,교육용 메타데이터
EVD-2608-009,REQ-2608-009,거래처 명의 계좌변경 공문,가상보람산업 계좌변경 공문,원본대조 확인,2026-08-09 08:00:00,2026-08-09 08:20:00,2026-08-09 09:00:00,U501,ACCT-2608-009-NEW,EDU-DAY1/EVD-2608-009,교육용 메타데이터
EVD-2608-010,REQ-2608-010,사업자등록증 사본,가상가온렌탈 사업자등록증 사본,사본 확인,2026-08-10 08:00:00,2026-08-10 08:20:00,2026-08-10 09:00:00,U501,ACCT-2608-010-NEW,EDU-DAY1/EVD-2608-010,마스킹된 표시값만 사용
